qt6-speech 6.10.2-1
qt6-svg 6.10.2-1
qt6-tools 6.10.2-1
qt6-translations 6.10.2-1
qt6-virtualkeyboard 6.10.2-1
qt6-webchannel 6.10.2-1
qt6-webengine 6.10.2-1
qt6-websockets 6.10.2-1
qt6-webview 6.10.2-1
qtkeychain-qt6 0.15.0-3
rav1e 0.8.1-2
re2 2:2025.11.05-1
readline 8.3.003-1
ripgrep 15.1.0-2
ripgrep-all 0.10.10-1
rsync 3.4.1-2
rtkit 0.14-1
rubberband 4.0.0-1
run-parts 5.23.2-1
sbc 2.2-1
sddm 0.21.0-6
sddm-kcm 6.6.2-1
sdl2-compat 2.32.64-1
sdl3 3.4.2-1
sdl3_ttf 3.2.2-3
sed 4.9-3
sequoia-sqv 1.3.0-1
serd 0.32.8-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
signon-kwallet-extension 25.12.2-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
slang 2.3.3-4
smartmontools 7.5-1
smbclient 2:4.23.6-1
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.1-1
solid 6.23.0-1
sonnet 6.23.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-16
spectacle 1:6.6.2-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.341.0-2
spotify-launcher 0.6.5-1
sqlite 3.51.2-1
sratom 0.6.22-1
srt 1.5.4-1
steam 1.0.0.85-5
steam-devices 1.0.0.85-5
sudo 1.9.17.p2-2
svt-av1 4.0.1-1
syndication 6.23.0-1
syntax-highlighting 6.23.0-1
systemd 259.3-1
systemd-libs 259.3-1
systemd-sysvcompat 259.3-1
systemsettings 6.6.2-1
taglib 2.2-1
talloc 2.4.4-1
tar 1.35-2
tdb 1.4.15-1
tevent 1:0.17.1-2
texinfo 7.2-1
timeshift 25.12.4-1
tinysparql 3.10.1-2
tldr 3.4.4-1
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tslib 1.24-1
ttf-hack 3.003-7
tzdata 2026a-1
udisks2 2.11.1-2
upower 1.91.1-1
usbutils 019-1
util-linux 2.41.3-2
util-linux-libs 2.41.3-2
v4l-utils 1.32.0-2
vapoursynth 73-2
verdict 1.4.4-1
vid.stab 1.1.1-2
vim 9.2.0081-1
vim-runtime 9.2.0081-1
vmaf 3.0.0-2
volume_key 0.3.12-12
vte-common 0.82.3-1
vte3 0.82.3-1
vulkan-icd-loader 1.4.341.0-1
vulkan-tools 1.4.341.0-2
wayland 1.24.0-1
wayland-utils 1.3.0-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-3
which 2.23-1
wireless_tools 30.pre9-5
wireplumber 0.5.13-1
wpa_supplicant 2:2.11-5
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xapp 3.2.2-1
xapp-symbolic-icons 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-kde 6.6.2-1
xdg-user-dirs 0.19-2
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xfsprogs 6.18.0-1
xkeyboard-config 2.47-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.5-1
xorg-xdpyinfo 1.4.0-1
xorg-xinit 1.4.4-1
xorg-xkbcomp 1.5.0-1
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xwayland 24.1.9-1
xorgproto 2025.1-1
xsettingsd 1.0.2-3
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.2-1
yay 12.5.7-1
yay-debug 12.5.7-1
yyjson 0.12.0-1
zenity 4.2.1-1
zeromq 4.3.5-3
zimg 3.0.6-1
zint 2.16.0-1
zix 0.8.0-1
zlib 1:1.3.2-2
zlib-ng 2.3.3-1
zram-generator 1.2.1-1
zstd 1.5.7-3
zxing-cpp 3.0.2-1
